yourlist:M20210221A94466D2655679D1FD8953E075198DA8046206A	Entry
89	Q08043
89	A0A087WSZ2
89	B4DZQ2
192669	Q9H9G7
192669	B4E1P5
192670	Q9HCK5
26523	Q9UL18
26523	A0A6I8PTZ8
26523	B2RAD8
26523	B3KME0
26523	Q5TA58
27161	Q9UKV8
27330	Q9UK32
6197	P51812
6197	A0A384MDW3
6197	B1AXG1
6197	B4DG22
6197	B7ZB17
6195	Q15418
6196	Q15349
6196	B7Z3B5
6196	X5D337
5141	P27815
5143	Q08493
5143	O43849
5143	P78505
5143	Q32MM7
5143	Q7KYS4
5142	Q07343
5142	Q59GM8
5142	Q68CX5
5142	X5DNX5
5142	X5DR82
5144	Q08499
5144	A0A140VJR0
11105	Q9NQW5
56979	Q9NQV7
10570	O14531
10570	D3DRG7
1400	Q14194
1400	B3KT07
1400	B3KV96
1400	E9PD68
1400	Q96I11
1400	X5DNI1
1809	Q14195
1809	A0A140VK07
1809	Q6DEN2
1809	Q8IXW6
1808	Q16555
1808	A0A1C7CYX9
1808	Q59GB4
817	Q13557
817	D6R938
817	E9PBG7
817	E9PF82
815	Q9UQM7
815	A8K161
815	Q7LDD5
815	Q8IWE0
816	Q13554
816	A4D2J9
816	B7Z1Z6
818	Q13555
818	A0A2Q3DQE3
818	B3KY86
818	Q13280
818	Q5SWX3
1879	Q9UH73
1879	B4E2U8
253738	Q9H4W6
64641	Q9HAK2
64641	B2RNT0
64641	B7Z934
57593	Q9BQW3
57593	E9PEI2
57593	Q7Z5T1
388646	Q8N8V2
115362	Q96PP8
2634	P32456
2634	Q8TCE5
2633	P32455
2635	Q9H0R5
112802	Q3SY84
319101	Q86Y46
121391	Q7RTS7
140807	Q14CN4
10308	Q14586
124411	Q7Z2F6
147183	Q7Z3Z0
147183	Q6ZPD6
342574	Q7Z3Y8
162605	Q7Z3Y7
353288	Q7Z3Y9
283365	A6NF89
283365	A0A126GW15
390323	A6NL08
390323	A0A126GW92
390083	Q8NH54
390083	A0A126GWL6
390261	Q8NGM8
390261	A0A126GVK2
120793	Q8NGH8
120793	A0A2C9F2M6
390084	P0C7T3
390084	A0A126GWP3
120796	Q8NGH5
120796	A0A126GVB5
127064	Q8NG77
391195	Q8NG76
343172	A6NH00
6398	Q8WVN6
101929983	A3QJZ7
343070	A0A096LNW4
343068	Q5TYX0
440561	Q5VXH4
400735	O60810
653619	Q5VWM5
440560	O60813
441873,645359	A6NGN4
645425	Q5VT98
390999	O95522
391002	Q5VWM4
441871	Q5VXH5
343071	O60809
645382	A0A0G2JMD5
391004	Q5VTA0
400736	Q5VWM6
400736	A0A1W2PPB9
729528	A6NFR9
65121	O95521
65121	B7ZM17
65122	O60811
391003	Q5VWM3
653606	A3QJZ6
645414	Q5SWL8
2043	P54764
2043	A1MA61
2042	P29320
2042	A0A140VJJ0
2042	C9JXA2
2042	Q6P4R6
2044	P54756
2044	A0A384MU00
2044	B7ZKJ3
2044	B7ZKW7
2044	F8VP57
2044	F8W9W0
2044	Q59FT4
2045	Q15375
219484	Q8NGP6
219484	A0A126GWD6
219487	Q96RB7
219487	A0A126GVL9
390167	Q6IEU7
390168	Q8NGP8
139170	Q5VU92
340578	Q5VW00
2741	P23415
2741	Q14C71
8001	O75311
8001	Q9UPF3
2742	P23416
6441	P35247
2782	P62873
2782	A0A140VJJ8
2782	B3KVK2
59345	Q9HAV0
2783	P62879
2783	Q6FHM2
2784	P16520
2784	E9PCP0
2784	F1T0G5
81696	Q9UGF6
81696	A0A126GV99
219469	Q8NGG4
219469	A0A126GVW6
390151	Q8N162
390152	Q8N146
26189	Q9Y585
26189	A0A126GVH4
8383	Q9P1Q5
8383	A0A126GWA2
390321	Q96RD1
390174	Q8NH87
504191	A0A126GVB8
7168	P09493
7168	A0A024R5W6
7168	A0A0K0K1I0
7168	B7Z596
7168	B7Z722
7168	D9YZV4
7168	D9YZV5
7168	D9YZV7
7168	F5H7S3
7168	H0YK48
7168	H7BYY1
7168	O15513
7170	P06753
7170	A0A087WWU8
7170	A0A0S2Z4G4
7170	A0A0S2Z4I4
7170	B4DQ80
7171	P67936
7171	A0A5F9UN72
7171	K7ENT6
7171	V9HW56
7169	P07951
7169	A7XZE4
7169	Q5TCU3
7169	V9HW25
873	P16152
873	A0A384NL53
51806	Q9NZT1
51806	Q53H37
810	P27482
808	Q9BRL5
808,801,805	P0DP23
808,801,805	P0DP24
808,801,805	P0DP25
808,801,805	B4DJ51
808,805	Q96HY3
26762	Q96D42
26762	B4DPB1
26762	E9PFX0
11086	Q9UKF5
11086	A0A140VJD8
30817	Q9UHX3
30817	A0JNV7
101928917	A0A1B0GWH4
119679	Q8NH60
317701	Q8NFZ6
317702	Q9BXE9
317703	Q7Z5H5
4994	P47881
4994	A0A126GVP1
4995	P47893
4995	A0A126GVQ3
8392	P47888
8392	A0A126GWB3
390439	Q8NGC1
390439	A0A126GWS8
81050	Q9NZP5
5553	P13727
10394	Q9Y2Y8
125958	Q8NG98
125958	A0A126GVR1
5269	P35237
5269	A0A024QZX3
5269	A0A024QZX5
5269	A0A087X1N8
5269	A0A2R8YD12
142683	Q8WWU7
55600	Q8WWA0
910	P29016
391107	Q6IF99
391107	A0A126GV65
391109	Q8NGX5
391109	A0A126GV64
26659	Q15622
26659	A0A126GW60
390892	O76100
390892	A0A126GVC8
390882	Q8NG99
390882	A0A2C9F2M1
390883	Q8NG95
390883	A0A126GVR4
26664	O76099
26664	A0A126GWU6
26658	O60412
143496	Q8NGK2
143496	A0A126GW82
337960	Q3SY46
140258	Q8IUC0
337959	Q52LG2
284827	Q3LI77
353143	Q5TA77
353144	Q5T5A8
353145	Q5T5B0
84648	Q9BYE3
100533997,4104	P43359
266740,4101	P43356
266740,4101	A0A024RC17
4101	Q6P448
4111	P43365
4102	P43357
4105	P43360
4100	P43355
4103	P43358
4103	A0A024RC12
4107	P43361
4107	B2R9W4
4108,728269	P43362
4110	P43364
4110	G5E962
4109	P43363
4109	B2RAE8
139081	Q8TD91
9947	O60732
51438	Q9UBF1
158809	Q8N7X4
4113	O15479
4113	Q53G50
4115	O15481
645864	A8MXT2
10349	Q8WWZ4
23460	Q8N139
10351	O94911
10351	A0A024R8L6
10351	A0A0A0MSU4
10350	Q8IUA7
728577	Q96NU0
79937	Q9BZ76
85445	Q9C0A0
85445	A0A087WTA1
85445	Q86YZ8
129684	Q8WYK1
10326	O00241
10326	Q5TFQ8
10326	H9KV29
55423	Q9P1W8
140885	P78324
3858	P13645
3860	P13646
3860	A1A4E9
3866	P19012
3866	B3KVF5
55844	Q66LE6
55844	Q6IN90
5520	P63151
5520	A0A140VJT0
5520	A0A590UJJ1
5521	Q00005
5522	Q9Y2T4
56000	Q9H4D5
135250	Q8TD07
100423062	B9A064
3543	P15814
7441	P12018
7441	F8W8C9
10871	Q08708
11314	Q9UGN4
11314	J3QKQ4
4112	P43366
390195	Q8NGI8
390195	A0A126GVP9
390072	Q8NGI2
135948	O95006
26211	Q13607
26211	A0A126GV98
119765	Q8NGF8
119765	A0A126GVH6
219482	Q8NGP4
390162	Q8NGP3
390162	A0A126GVK6
119764	Q8NGF9
119764	A0A126GVL5
292	P05141
292	Q6NVC0
293	P12236
293	Q6I9V5
291	P12235
291	A0A0S2Z3H3
4069	P61626
4069	B2R4C5
51619	Q9Y2X8
51619	A0A024RA90
51619	Q9UQL0
7321	P51668
7321	A0A024QZJ2
7321	A0A087WW00
7322	P62837
7323	P61077
7323	A0A024RDH2
7323	D6RAH7
51065	Q71UM5
6232	P42677
4489	P04731
4490	P07438
4494	P04733
4494	H3BRY8
4499	Q8N339
4499	A0A024R6T4
4496	P80294
4496	A0A140VJP7
4502	P02795
102725035	A0A0G2JM46
102725035	A0A0G2JMZ3
107987425	A0A0G2JLT7
